,Path,Name,Flag,Card,Type,Description
0,Linkage, Linkage ,ΣITU,,DomainResource,"Links records for 'same' item+ Rule: Must have at least two itemsElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,Linkage.active, active ,Σ,0..1,boolean,Whether this linkage assertion is active or not
2,Linkage.author, author ,Σ,0..1,Reference(Practitioner | PractitionerRole | Organization),Who is responsible for linkages
3,Linkage.item, item ,ΣI,1..*,BackboneElement,Item to be linked
4,Linkage.item.type, type ,Σ,1..1,code,source | alternate | historicalLinkageType (Required)
5,Linkage.item.resource, resource ,Σ,1..1,Reference(Any),Resource being linked
